RES	119	0.132
RES	128	0.135
RES	135	0.092
RES	143	0.074
RES	150	0.082
RES	169	0.067
RES	178	0.121
RES	186	0.14
RES	196	0.157
RES	203	0.168
RES	210	0.207
RES	224	0.22
RES	238	0.234
DM	109	20
DM	119	83.38
DM	128	153.62
DM	135	280.3
DM	143	470.72
DM	150	567.67
DM	151	100.63
DM	162	15.4
DM	169	55.48
DM	178	143.66
DM	186	234.12
DM	196	308.21
DM	203	416.8
DM	210	526.06
DM	224	726.13
DM	238	580.27
LAI	109	0.23
LAI	119	1.29
LAI	128	2.22
LAI	135	4.16
LAI	143	8.28
LAI	150	10.42
LAI	162	0.18
LAI	169	1.1
LAI	178	3.03
LAI	186	3.71
LAI	196	3.43
LAI	203	3.69
LAI	210	3.19
LAI	224	2.85
LAI	238	1.59
LERG	112	0.0056
LERG	120	0.0089
LERG	127	0.0149
LERG	137	0.0282
LERG	148	0.011
LERG	169	0.0203
LERG	189	0.0145
LERG	196	0.0137
LERG	203	0.0104
LERG	210	0.0106
LERG	218	0.0077
LERG	225	0.0094
LERG	232	0.0079
NELLVG	112	1.50
NELLVG	120	1.92
NELLVG	127	2.53
NELLVG	137	1.26
NELLVG	148	1.69
NELLVG	169	2.04
NELLVG	179	1.40
NELLVG	189	1.64
NELLVG	196	1.31
NELLVG	203	1.33
NELLVG	210	0.99
NELLVG	218	1.00
NELLVG	225	0.86
NELLVG	232	0.68
RLEAF	112	0.076
RLEAF	120	0.115
RLEAF	127	0.139
RLEAF	137	0.161
RLEAF	148	0.238
RLEAF	169	0.167
RLEAF	179	0.187
RLEAF	189	0.194
RLEAF	195	0.146
RLEAF	203	0.074
RLEAF	210	0.104
RLEAF	218	0.087
RLEAF	225	0.087
RLEAF	232	0.052
SLA	109	0.015
SLA	119	0.0183
SLA	128	0.018
SLA	135	0.026
SLA	143	0.0327
SLA	150	0.0363
SLA	162	0.0297
SLA	169	0.0247
SLA	178	0.0297
SLA	186	0.0303
SLA	196	0.0247
SLA	203	0.026
SLA	210	0.0253
SLA	224	0.0233
SLA	238	0.0203
TILTOT	108	2225
TILTOT	122	2475
TILTOT	133	2658
TILTOT	144	2440
TILTOT	149	2210
TILTOT	152	242
TILTOT	165	2633
TILTOT	171	3042
TILTOT	178	2783
TILTOT	185	2650
TILTOT	192	2575
TILTOT	199	2575
TILTOT	206	2217
TILTOT	223	1964
TILTOT	238	2192
